Year,Age,Female,Male,Total,OpenInterval
2003,0,0.004846,0.005998,0.005447,FALSE
2003,1,4.77e-4,4.18e-4,4.46e-4,FALSE
2003,2,2.91e-4,4.09e-4,3.53e-4,FALSE
2003,3,2.86e-4,3.1e-4,2.98e-4,FALSE
2003,4,2.61e-4,3.47e-4,3.06e-4,FALSE
2003,5,1.68e-4,2.59e-4,2.15e-4,FALSE
2003,6,2.22e-4,2.58e-4,2.41e-4,FALSE
2003,7,1.6e-4,2.53e-4,2.09e-4,FALSE
2003,8,1.21e-4,1.8e-4,1.52e-4,FALSE
2003,9,1.38e-4,1.73e-4,1.57e-4,FALSE
2003,10,1.3e-4,1.79e-4,1.56e-4,FALSE
2003,11,1.18e-4,1.84e-4,1.53e-4,FALSE
2003,12,1.22e-4,1.5e-4,1.37e-4,FALSE
2003,13,1.26e-4,1.55e-4,1.42e-4,FALSE
2003,14,1.24e-4,2.41e-4,1.86e-4,FALSE
2003,15,1.98e-4,2.95e-4,2.49e-4,FALSE
2003,16,2.63e-4,4.17e-4,3.43e-4,FALSE
2003,17,2.78e-4,4.86e-4,3.87e-4,FALSE
2003,18,2.64e-4,6.12e-4,4.45e-4,FALSE
2003,19,2.93e-4,6.92e-4,4.99e-4,FALSE
2003,20,2.9e-4,6.29e-4,4.65e-4,FALSE
2003,21,3.23e-4,5.53e-4,4.41e-4,FALSE
2003,22,3.78e-4,6.87e-4,5.37e-4,FALSE
2003,23,3.79e-4,7.56e-4,5.71e-4,FALSE
2003,24,3.62e-4,8.53e-4,6.14e-4,FALSE
2003,25,3.8e-4,8.2e-4,6.05e-4,FALSE
2003,26,4.28e-4,8.5e-4,6.43e-4,FALSE
2003,27,4.46e-4,8.63e-4,6.59e-4,FALSE
2003,28,4.54e-4,8.96e-4,6.79e-4,FALSE
2003,29,4.58e-4,9.99e-4,7.33e-4,FALSE
2003,30,4.77e-4,0.001034,7.61e-4,FALSE
2003,31,4.92e-4,0.001042,7.75e-4,FALSE
2003,32,5.11e-4,0.001117,8.21e-4,FALSE
2003,33,5.92e-4,0.001164,8.83e-4,FALSE
2003,34,6.77e-4,0.001508,0.001098,FALSE
2003,35,6.61e-4,0.001384,0.001024,FALSE
2003,36,7.08e-4,0.001686,0.00121,FALSE
2003,37,7.85e-4,0.001761,0.001289,FALSE
2003,38,7.7e-4,0.002188,0.001494,FALSE
2003,39,9e-4,0.002244,0.001592,FALSE
2003,40,0.001002,0.002492,0.001773,FALSE
2003,41,9.95e-4,0.002768,0.001904,FALSE
2003,42,0.001054,0.003137,0.002109,FALSE
2003,43,0.001271,0.00348,0.002389,FALSE
2003,44,0.001376,0.003804,0.002613,FALSE
2003,45,0.001269,0.003989,0.002662,FALSE
2003,46,0.001546,0.004444,0.003026,FALSE
2003,47,0.001746,0.004947,0.003361,FALSE
2003,48,0.001807,0.005251,0.003546,FALSE
2003,49,0.00191,0.005609,0.003784,FALSE
2003,50,0.002064,0.005878,0.003983,FALSE
2003,51,0.002432,0.007075,0.00477,FALSE
2003,52,0.002268,0.007212,0.004758,FALSE
2003,53,0.002648,0.007991,0.005334,FALSE
2003,54,0.002701,0.008283,0.005503,FALSE
2003,55,0.003028,0.008308,0.005658,FALSE
2003,56,0.003528,0.009552,0.006516,FALSE
2003,57,0.003425,0.009461,0.00641,FALSE
2003,58,0.003975,0.01118,0.007471,FALSE
2003,59,0.00445,0.011553,0.007845,FALSE
2003,60,0.004815,0.01358,0.009002,FALSE
2003,61,0.005274,0.014922,0.009864,FALSE
2003,62,0.005806,0.016582,0.010863,FALSE
2003,63,0.006511,0.017207,0.011475,FALSE
2003,64,0.007634,0.019101,0.012905,FALSE
2003,65,0.008219,0.020923,0.01399,FALSE
2003,66,0.009088,0.023818,0.015683,FALSE
2003,67,0.011137,0.025207,0.017305,FALSE
2003,68,0.01266,0.028724,0.019545,FALSE
2003,69,0.013967,0.031934,0.02147,FALSE
2003,70,0.016293,0.034574,0.023712,FALSE
2003,71,0.018099,0.037519,0.025705,FALSE
2003,72,0.020337,0.041919,0.028401,FALSE
2003,73,0.023985,0.046056,0.032075,FALSE
2003,74,0.027109,0.051234,0.035867,FALSE
2003,75,0.031331,0.056331,0.040139,FALSE
2003,76,0.036077,0.063114,0.045474,FALSE
2003,77,0.04213,0.06769,0.050857,FALSE
2003,78,0.04798,0.075928,0.057657,FALSE
2003,79,0.050373,0.082518,0.061377,FALSE
2003,80,0.064555,0.097781,0.075386,FALSE
2003,81,0.06803,0.102939,0.079131,FALSE
2003,82,0.075877,0.108403,0.08613,FALSE
2003,83,0.088841,0.12461,0.099985,FALSE
2003,84,0.096574,0.133539,0.107723,FALSE
2003,85,0.110478,0.153299,0.122624,FALSE
2003,86,0.123796,0.17253,0.13671,FALSE
2003,87,0.137221,0.182381,0.148522,FALSE
2003,88,0.150041,0.193259,0.160341,FALSE
2003,89,0.161725,0.214991,0.173774,FALSE
2003,90,0.191815,0.233722,0.200956,FALSE
2003,91,0.207649,0.247239,0.21617,FALSE
2003,92,0.223828,0.253466,0.230207,FALSE
2003,93,0.236446,0.298445,0.249761,FALSE
2003,94,0.26257,0.327237,0.27544,FALSE
2003,95,0.28253,0.30106,0.285799,FALSE
2003,96,0.295508,0.311837,0.298185,FALSE
2003,97,0.324787,0.334198,0.326229,FALSE
2003,98,0.351321,0.289942,0.34257,FALSE
2003,99,0.300709,0.419536,0.316802,FALSE
2003,100,0.436793,0.530764,0.448537,FALSE
2003,101,0.470666,0.580636,0.483397,FALSE
2003,102,0.506253,0.647296,0.521118,FALSE
2003,103,0.544281,0.736107,0.562396,FALSE
2003,104,0.585008,0.849761,0.607157,FALSE
2003,105,0.631057,1.141573,0.663963,FALSE
2003,106,0.687387,2,0.738663,FALSE
2003,107,0.752696,4.216216,0.820441,FALSE
